DISPLAY_NAME,TYPE,work_count
Max Planck Institute for Tax Law and Public Finance,facility,1093
Center for Behavioral Brain Sciences,funder,1091
Leibniz Institute of Environmental Medicine,nonprofit,1090
Hamburg Institut (Germany),company,1087
Daiichi Sankyo (Germany),company,1085
Klinikum Bielefeld,healthcare,1082
Alfried Krupp Hospital,healthcare,1080
Rheumazentrum Ruhrgebiet,healthcare,1074
Hearing4all,facility,1074
Fraunhofer Institute for High Frequency Physics and Radar Techniques,facility,1074
DWI – Leibniz Institute for Interactive Materials,facility,1073
Continental (Germany),company,1069
Klinikum Coburg,healthcare,1068
Fraunhofer Institute for Interfacial Engineering and Biotechnology,facility,1068
Universitäts-Augenklinik Bonn,healthcare,1064
HHL Leipzig Graduate School of Management,education,1063
IFB Adiposity Diseases,facility,1063
Leibniz University of Applied Sciences,education,1056
Research Institute for Sustainability at GFZ,facility,1055
Krankenhaus Dresden-Friedrichstadt,healthcare,1053
Klinikum Esslingen,healthcare,1052
Centre for Higher Education,nonprofit,1050
